sse,vr
0x14141B180,0x14147C220
0x14141B185,0x14147C225
0x1434B597C,0x1437134E8
0x1419960F0,0x141A37A80
0x1401BA000,0x1401CA170
0x141996160,0x141A37AF0
0x1434B59AC,0x143713518
0x140103617,0x140113BC7
0x14199612C,0x141A37ABC
0x1434B5970,0x1437134DC
0x140102D6D,0x14011331D
0x1419961B8,0x141A37B48
0x1419960B8,0x141A37A48
0x1434B59A0,0x14371350C
0x1401033D7,0x140113987
0x141996080,0x141A37A10
0x14175C748,0x1417E4BC8
0x141C68384,0x141D1E5CC
0x14143A270,0x14149E2F0
0x14163F3A8,0x1416B7840
0x141B09EF0,0x141BA8860
0x1413D2C7A,0x14142CEEA
0x1413D2C86,0x14142CEF6
0x1413D2C8B,0x14142CEFB
0x14163A3B8,0x1416B2710
0x141B03948,0x141BA21F0
0x1413D0D55,0x14142AF85
0x1413D0D61,0x14142AF91
0x1413D0D6D,0x14142AF9D
0x1413D0D79,0x14142AFA9
0x1413D0D7E,0x14142AFAE
0x14163A430,0x1416B2788
0x141B03AEC,0x141BA2394
0x1413D0DD3,0x14142B003
0x14163A520,0x1416B2878
0x141B03D9C,0x141BA2644
0x1413D0E8E,0x14142B0BE
0x1413D0E9A,0x14142B0CA
0x1413D0EA6,0x14142B0D6
0x1413D0EAB,0x14142B0DB
0x14163A4F8,0x1416B2850
0x141B03D10,0x141BA25B8
0x1413D0E40,0x14142B070
0x1413D0E4C,0x14142B07C
0x1413D0E64,0x14142B094
0x1413D0E84,0x14142B0B4
0x1413D0E89,0x14142B0B9
0x14163A4D0,0x1416B2828
0x141B03CD4,0x141BA257C
0x1413D0E34,0x14142B064
0x1416354E0,0x1416A88F0
0x141AFC4F0,0x141B965F8
0x1413CE9D0,0x1414272F0
0x1413CE9D5,0x1414272F5
0x1416354B8,0x1416A88C8
0x141AFC4A8,0x141B965B0
0x1413CE9E0,0x141427300
0x1413CE9E5,0x141427305
0x1416353F0,0x1416A8800
0x141AFC328,0x141B96408
0x1413CEA00,0x141427330
0x1413CEA05,0x141427335
0x141635468,0x1416A8878
0x141AFC420,0x141B96500
0x1413CEA10,0x141427340
0x1413CEA15,0x141427345
0x141671AA8,0x1416F4B68
0x141B74098,0x141C21494
0x1413F5358,0x141455158
0x1413F5364,0x141455164
0x14165EB28,0x1416D7ED8
0x141B4BEC8,0x141BEB4E8
0x1413E73DC,0x141441B7C
0x1413E73E8,0x141441B88
0x1413E73F4,0x141441B94
0x1413E7400,0x141441BA0
0x1413E740C,0x141441BAC
0x1413E7411,0x141441BB1
0x1413E7416,0x141441BB6
0x14012F420,0x14013FAF0
0x14165EB00,0x1416D7EB0
0x141B4BE68,0x141BEB488
0x1413E73BA,0x141441B5A
0x1413E73C6,0x141441B66
0x1413E73D2,0x141441B72
0x1413E73D7,0x141441B77
0x14165EAB0,0x1416D7E60
0x141B4BD08,0x141BEB328
0x1413E731F,0x141441ABF
0x1413E732B,0x141441ACB
0x1413E7337,0x141441AD7
0x1413E7343,0x141441AE3
0x1413E734F,0x141441AEF
0x1413E7354,0x141441AF4
0x1413E7359,0x141441AF9
0x140697360,0x1406A09C0
0x14165EAD8,0x1416D7E88
0x141B4BDA4,0x141BEB3C4
0x1413E735E,0x141441AFE
0x1413E736A,0x141441B0A
0x1413E7376,0x141441B16
0x1413E7382,0x141441B22
0x1413E738E,0x141441B2E
0x1413E739A,0x141441B3A
0x1413E73A6,0x141441B46
0x1413E73AB,0x141441B4B
0x1413E73B0,0x141441B50
0x1413E73B5,0x141441B55
0x14165EB50,0x1416D7F00
0x141B4BF60,0x141BEB580
0x1413E741B,0x141441BBB
0x1413E7427,0x141441BC7
0x1413E7433,0x141441BD3
0x1413E743F,0x141441BDF
0x1413E744B,0x141441BEB
0x1413E7457,0x141441BF7
0x1413E7463,0x141441C03
0x1413E746F,0x141441C0F
0x1413E747B,0x141441C1B
0x1413E7480,0x141441C20
0x1413E7485,0x141441C25
0x14165EA60,0x1416D7E10
0x141B4BB64,0x141BEB184
0x1413E7259,0x1414419F9
0x1413E7265,0x141441A05
0x1413E7271,0x141441A11
0x1413E727D,0x141441A1D
0x1413E7289,0x141441A29
0x1413E7295,0x141441A35
0x1413E729A,0x141441A3A
0x1413E729F,0x141441A3F
0x1417FC928,0x1418ACF50
0x141D1BDA8,0x141DD83E8
0x14145A379,0x1414C0019
0x14145A385,0x1414C0025
0x1417FC950,0x1418ACF78
0x141D1BE48,0x141DD8488
0x14145A38A,0x1414C002A
0x14145A3AA,0x1414C004A
0x14145A3B6,0x1414C0056
0x14145A3C2,0x1414C0062
0x14145A3C7,0x1414C0067
0x14145A3D3,0x1414C0073
0x14040B2D0,0x14041AE20
0x1417F3CF8,0x1418A42B8
0x141D0B754,0x141DC7D04
0x141455E38,0x1414BBAA8
0x141455E44,0x1414BBAB4
0x1417F3D48,0x1418A4308
0x141D0B7E8,0x141DC7D98
0x141455E5A,0x1414BBACA
0x1417F3D20,0x1418A42E0
0x141D0B7A4,0x141DC7D54
0x141455E49,0x1414BBAB9
0x141455E55,0x1414BBAC5
0x1417FE738,0x1418AED50
0x141D1E108,0x141DDA708
0x14145AD89,0x1414C0A29
0x14145AD95,0x1414C0A35
0x14145ADA1,0x1414C0A41
0x1417FE710,0x1418AED28
0x141D1E0C0,0x141DDA6C0
0x14145AD78,0x1414C0A18
0x14145AD84,0x1414C0A24
0x1417FE788,0x1418AEDA0
0x141D1E1B0,0x141DDA7B0
0x14145ADB7,0x1414C0A57
0x1417FE7B0,0x1418AEDC8
0x141D1E1E4,0x141DDA7E4
0x14145ADBC,0x1414C0A5C
0x1417FE7D8,0x1418AEDF0
0x141D1E218,0x141DDA818
0x14145ADC1,0x1414C0A61
0x1417F4588,0x1418A4B48
0x141D0C594,0x141DC8B44
0x141456196,0x1414BBE06
0x1414561A2,0x1414BBE12
0x1414561AE,0x1414BBE1E
0x1414561B3,0x1414BBE23
0x1414561B8,0x1414BBE28
0x1414561BD,0x1414BBE2D
0x140703A60,0x14072A9F0
0x1417F45B0,0x1418A4B70
0x141D0C624,0x141DC8BD4
0x1414561C2,0x1414BBE32
0x1414561CE,0x1414BBE3E
0x1414561DA,0x1414BBE4A
0x1414561DF,0x1414BBE4F
0x1414561E4,0x1414BBE54
0x1414561E9,0x1414BBE59
0x1417F45D8,0x1418A4B98
0x141D0C6C8,0x141DC8C78
0x1414561EE,0x1414BBE5E
0x1414561FA,0x1414BBE6A
0x1417F4268,0x1418A4828
0x141D0BEB0,0x141DC8460
0x14145604E,0x1414BBCBE
0x14145605A,0x1414BBCCA
0x141456066,0x1414BBCD6
0x1417F4290,0x1418A4850
0x141D0BF18,0x141DC84C8
0x14145606B,0x1414BBCDB
0x141456077,0x1414BBCE7
0x1417F42B8,0x1418A4878
0x141D0BF6C,0x141DC851C
0x14145607C,0x1414BBCEC
0x141456088,0x1414BBCF8
0x1417F4240,0x1418A4800
0x141D0BE34,0x141DC83E4
0x141456031,0x1414BBCA1
0x14145603D,0x1414BBCAD
0x141456049,0x1414BBCB9
0x1417F42E0,0x1418A48A0
0x141D0BFB8,0x141DC8568
0x14145608D,0x1414BBCFD
0x1417F4308,0x1418A48C8
0x141D0BFEC,0x141DC859C
0x141456092,0x1414BBD02
0x1417F4330,0x1418A48F0
0x141D0C020,0x141DC85D0
0x141456097,0x1414BBD07
0x1417F4358,0x1418A4918
0x141D0C054,0x141DC8604
0x14145609C,0x1414BBD0C
0x1417F4380,0x1418A4940
0x141D0C090,0x141DC8640
0x1414560A1,0x1414BBD11
0x1414560AD,0x1414BBD1D
0x1417F44C0,0x1418A4A80
0x141D0C354,0x141DC8904
0x141456129,0x1414BBD99
0x141456135,0x1414BBDA5
0x1417F43A8,0x1418A4968
0x141D0C0D8,0x141DC8688
0x1414560B2,0x1414BBD22
0x1414560BE,0x1414BBD2E
0x1417F43D0,0x1418A4990
0x141D0C120,0x141DC86D0
0x1414560C3,0x1414BBD33
0x1414560CF,0x1414BBD3F
0x1417F43F8,0x1418A49B8
0x141D0C16C,0x141DC871C
0x1414560D4,0x1414BBD44
0x1414560E0,0x1414BBD50
0x1417F4420,0x1418A49E0
0x141D0C1BC,0x141DC876C
0x1414560E5,0x1414BBD55
0x1414560F1,0x1414BBD61
0x1417F4470,0x1418A4A30
0x141D0C2B8,0x141DC8868
0x141456107,0x1414BBD77
0x141456113,0x1414BBD83
0x1417F4448,0x1418A4A08
0x141D0C268,0x141DC8818
0x1414560F6,0x1414BBD66
0x141456102,0x1414BBD72
0x1417F4498,0x1418A4A58
0x141D0C308,0x141DC88B8
0x141456118,0x1414BBD88
0x141456124,0x1414BBD94
0x1417F4538,0x1418A4AF8
0x141D0C440,0x141DC89F0
0x14145615C,0x1414BBDCC
0x141456168,0x1414BBDD8
0x1417F44E8,0x1418A4AA8
0x141D0C3A0,0x141DC8950
0x14145613A,0x1414BBDAA
0x141456146,0x1414BBDB6
0x1417F4510,0x1418A4AD0
0x141D0C3F0,0x141DC89A0
0x14145614B,0x1414BBDBB
0x141456157,0x1414BBDC7
0x1417F4560,0x1418A4B20
0x141D0C518,0x141DC8AC8
0x14145616D,0x1414BBDDD
0x141456179,0x1414BBDE9
0x141456185,0x1414BBDF5
0x141456191,0x1414BBE01
0x1417FEC40,0x1418AF258
0x141D1E7BC,0x141DDADBC
0x14145AFD8,0x1414C0C68
0x14145AFE4,0x1414C0C74
0x14145AFF0,0x1414C0C80
0x1417FEC68,0x1418AF280
0x141D1E81C,0x141DDAE1C
0x14145AFF5,0x1414C0C85
0x1417FEC90,0x1418AF2A8
0x141D1E858,0x141DDAE58
0x14145AFFA,0x1414C0C8A
0x1417FECB8,0x1418AF2D0
0x141D1E88C,0x141DDAE8C
0x14145AFFF,0x1414C0C8F
0x1417FECE0,0x1418AF2F8
0x141D1E8C0,0x141DDAEC0
0x14145B004,0x1414C0C94
0x1417FED08,0x1418AF320
0x141D1E8F4,0x141DDAEF4
0x14145B009,0x1414C0C99
0x1417FED30,0x1418AF348
0x141D1E934,0x141DDAF34
0x14145B00E,0x1414C0C9E
0x141668B10,0x1416EAC40
0x141B61ADC,0x141C0DAD4
0x1413EE27B,0x14144D9DB
0x1413EE287,0x14144D9E7
0x1413EE293,0x14144D9F3
0x1413EE29F,0x14144D9FF
0x1413EE2A4,0x14144DA04
0x1406EC700,0x1407135F0
0x141669070,0x1416EB1A0
0x141B62890,0x141C0E888
0x1413EE726,0x14144DE86
0x1406F1E30,0x140718D20
0x141669098,0x1416EB1C8
0x141B628C4,0x141C0E8BC
0x1413EE732,0x14144DE92
0x1416690C0,0x1416EB1F0
0x141B628F8,0x141C0E8F0
0x1413EE73E,0x14144DE9E
0x1416690E8,0x1416EB218
0x141B62930,0x141C0E928
0x1413EE74A,0x14144DEAA
0x141669110,0x1416EB240
0x141B62968,0x141C0E960
0x1413EE756,0x14144DEB6
0x141669138,0x1416EB268
0x141B629A0,0x141C0E998
0x1413EE762,0x14144DEC2
0x141669160,0x1416EB290
0x141B629D0,0x141C0E9C8
0x1413EE76E,0x14144DECE
0x141669250,0x1416EB380
0x141B62D9C,0x141C0ED94
0x1413EE7B6,0x14144DF16
0x141669278,0x1416EB3A8
0x141B62DD4,0x141C0EDCC
0x1413EE7C2,0x14144DF22
0x141668EB8,0x1416EAFE8
0x141B623F0,0x141C0E3E8
0x1413EE5A5,0x14144DD05
0x141668E90,0x1416EAFC0
0x141B623BC,0x141C0E3B4
0x1413EE599,0x14144DCF9
0x141668EE0,0x1416EB010
0x141B62428,0x141C0E420
0x1413EE5B1,0x14144DD11
0x141669188,0x1416EB2B8
0x141B62A6C,0x141C0EA64
0x1413EE77A,0x14144DEDA
0x1416691B0,0x1416EB2E0
0x141B62AA0,0x141C0EA98
0x1413EE786,0x14144DEE6
0x1416691D8,0x1416EB308
0x141B62AD4,0x141C0EACC
0x1413EE792,0x14144DEF2
0x141669200,0x1416EB330
0x141B62B04,0x141C0EAFC
0x1413EE79E,0x14144DEFE
0x141668E68,0x1416EAF98
0x141B62340,0x141C0E338
0x1413EE583,0x14144DCE3
0x1413EE58F,0x14144DCEF
0x1413EE594,0x14144DCF4
0x14035B0A0,0x14036A960
0x14035B0C0,0x14036A980
0x1404E5740,0x1404F58B0
0x141668E18,0x1416EAF48
0x141B6227C,0x141C0E274
0x1413EE54E,0x14144DCAE
0x1413EE55A,0x14144DCBA
0x141668E40,0x1416EAF70
0x141B622DC,0x141C0E2D4
0x1413EE577,0x14144DCD7
0x14166A350,0x1416EC488
0x141B668B0,0x141C128A8
0x1413F06E8,0x14144FE48
0x1413F06F4,0x14144FE54
0x1413F0804,0x14144FF64
0x141B67408,0x141C13488
0x14166A768,0x1416EC8A0
0x141B66F0C,0x141C12F08
0x1413F083C,0x14144FF9C
0x14166A790,0x1416EC8C8
0x141B66F44,0x141C12F40
0x1413F0841,0x14144FFA1
0x14166AF98,0x1416ED140
0x141B6770C,0x141C1378C
0x1413F0ABC,0x14145024C
0x1413F0AC8,0x141450258
0x1413F0AD4,0x141450264
0x1413F0AE0,0x141450270
0x1413F0AE5,0x141450275
0x140616080,0x14061EC90
0x1417FD3D8,0x1418ADA08
0x141D1CCE0,0x141DD9320
0x1417FB3A0,0x1418AB9C0
0x141D1A8C4,0x141DD6F04
0x141459DC0,0x1414BFA60
0x141459DCC,0x1414BFA6C
0x1411037F0,0x141160710
0x1417FBAD8,0x1418AC0F8
0x141D1B09C,0x141DD76DC
0x141459F9D,0x1414BFC3D
0x1417FBB00,0x1418AC120
0x141D1B0D0,0x141DD7710
0x141459FA9,0x1414BFC49
0x141459FB5,0x1414BFC55
0x141668590,0x1416EA6C0
0x141B612E4,0x141C0D2DC
0x1413EE190,0x14144D8F0
0x1413EE19C,0x14144D8FC
0x1413EE1A8,0x14144D908
0x1413EE1AD,0x14144D90D
0x1416685B8,0x1416EA6E8
0x141B61348,0x141C0D340
0x1413EE0D0,0x14144D830
0x1413EE0DC,0x14144D83C
0x1413EE0E8,0x14144D848
0x1413EE0ED,0x14144D84D
0x1416685E0,0x1416EA710
0x141B613A8,0x141C0D3A0
0x1413EE130,0x14144D890
0x1413EE13C,0x14144D89C
0x1413EE148,0x14144D8A8
0x1413EE14D,0x14144D8AD
0x141668630,0x1416EA760
0x141B61468,0x141C0D460
0x1413EE100,0x14144D860
0x1413EE10C,0x14144D86C
0x1413EE118,0x14144D878
0x1413EE11D,0x14144D87D
0x141668608,0x1416EA738
0x141B61408,0x141C0D400
0x1413EE160,0x14144D8C0
0x1413EE16C,0x14144D8CC
0x1413EE178,0x14144D8D8
0x1413EE17D,0x14144D8DD
0x141800120,0x1418B0738
0x141D1FC18,0x141DDC218
0x14145B568,0x1414C11F8
0x14145B574,0x1414C1204
0x141800148,0x1418B0760
0x141D1FC64,0x141DDC264
0x14145B579,0x1414C1209
0x14145B585,0x1414C1215
0x141800170,0x1418B0788
0x141D1FCA8,0x141DDC2A8
0x14145B58A,0x1414C121A
0x14145B596,0x1414C1226
0x1417FE4B0,0x1418AEAF0
0x141D1DE6C,0x141DDA4B4
0x14145AC8C,0x1414C092C
0x14145AC98,0x1414C0938
0x1417FC250,0x1418AC878
0x141D1B644,0x141DD7C84
0x14145A0E2,0x1414BFD82
0x14145A0EE,0x1414BFD8E
0x14145A0FA,0x1414BFD9A
0x1417FC278,0x1418AC8A0
0x141D1B6AC,0x141DD7CEC
0x14145A106,0x1414BFDA6
0x14145A123,0x1414BFDC3
0x14145A12F,0x1414BFDCF
0x14145A13B,0x1414BFDDB
0x14145A147,0x1414BFDE7
0x14145A14C,0x1414BFDEC
0x1417F54A8,0x1418A5A68
0x141D0D83C,0x141DC9DF4
0x1414567B6,0x1414BC426
0x1417F54D0,0x1418A5A90
0x141D0D878,0x141DC9E30
0x1414567BB,0x1414BC42B
0x1417F54F8,0x1418A5AB8
0x141D0D8B4,0x141DC9E6C
0x1414567C0,0x1414BC430
0x1417F5520,0x1418A5AE0
0x141D0D8F0,0x141DC9EA8
0x1414567C5,0x1414BC435
0x1417F5548,0x1418A5B08
0x141D0D92C,0x141DC9EE4
0x1414567CA,0x1414BC43A
0x1417F5570,0x1418A5B30
0x141D0D968,0x141DC9F20
0x1414567CF,0x1414BC43F
0x1417F55C0,0x1418A5B80
0x141D0D9E8,0x141DC9FA0
0x1414567F1,0x1414BC461
0x1417F55E8,0x1418A5BA8
0x141D0DA1C,0x141DC9FD4
0x1414567F6,0x1414BC466
0x1417F5610,0x1418A5BD0
0x141D0DA50,0x141DCA008
0x1414567FB,0x1414BC46B
0x1417F5638,0x1418A5BF8
0x141D0DA84,0x141DCA03C
0x141456800,0x1414BC470
0x1417F5660,0x1418A5C20
0x141D0DAB8,0x141DCA070
0x141456805,0x1414BC475
0x1417F5408,0x1418A59C8
0x141D0D680,0x141DC9C38
0x1414566EF,0x1414BC35F
0x1414566FB,0x1414BC36B
0x141456718,0x1414BC388
0x1417F5480,0x1418A5A40
0x141D0D7D4,0x141DC9D8C
0x141456788,0x1414BC3F8
0x141456794,0x1414BC404
0x1414567B1,0x1414BC421
0x1417F5430,0x1418A59F0
0x141D0D6E8,0x141DC9CA0
0x14145671D,0x1414BC38D
0x141456729,0x1414BC399
0x141456746,0x1414BC3B6
0x1417F5458,0x1418A5A18
0x141D0D754,0x141DC9D0C
0x14145674B,0x1414BC3BB
0x141456757,0x1414BC3C7
0x141456777,0x1414BC3E7
0x141456783,0x1414BC3F3
0x14166B858,0x1416EDA00
0x141B67F68,0x141C13FE8
0x1413F0CF8,0x141450488
0x14166BD60,0x1416EDF08
0x141B68434,0x141C144B4
0x1413F0E0B,0x14145059B
0x1413F0E17,0x1414505A7
0x1413F0E23,0x1414505B3
0x1413F0E28,0x1414505B8
0x14166BD38,0x1416EDEE0
0x141B683B4,0x141C14434
0x1413F0DD8,0x141450568
0x1413F0DE4,0x141450574
0x1413F0DF0,0x141450580
0x1413F0DFC,0x14145058C
0x1413F0E01,0x141450591
0x1413F0E06,0x141450596
0x1417FFC60,0x1418B0278
0x141D1F424,0x141DDBA24
0x14145B378,0x1414C1008
0x14145B384,0x1414C1014
0x14145B390,0x1414C1020
0x14166BFF0,0x1416EE198
0x141B68810,0x141C14890
0x1413F0FB7,0x141450747
0x1413F0FC3,0x141450753
0x1413F0FCF,0x14145075F
0x1413F0FDB,0x14145076B
0x14166C018,0x1416EE1C0
0x141B68890,0x141C14910
0x1413F0FE7,0x141450777
0x14166C040,0x1416EE1E8
0x141B688C8,0x141C14948
0x1413F0FF3,0x141450783
0x14166C578,0x1416EE720
0x141B68E6C,0x141C14EEC
0x1413F1250,0x1414509E0
0x1413F125C,0x1414509EC
0x14166C5A0,0x1416EE748
0x141B68EB0,0x141C14F30
0x1413F1261,0x1414509F1
0x1413F126D,0x1414509FD
0x1413F1279,0x141450A09
0x1413F127E,0x141450A0E
0x14166C618,0x1416EE7C0
0x141B68FF8,0x141C15078
0x1413F12D3,0x141450A63
0x1413F12DF,0x141450A6F
0x1413F12EB,0x141450A7B
0x1413F12F0,0x141450A80
0x14166C5F0,0x1416EE798
0x141B68F68,0x141C14FE8
0x1413F128F,0x141450A1F
0x1413F129B,0x141450A2B
0x1413F12A7,0x141450A37
0x1413F12B3,0x141450A43
0x1413F12BF,0x141450A4F
0x1413F12C4,0x141450A54
0x1413F12C9,0x141450A59
0x1413F12CE,0x141450A5E
0x1417FD6C0,0x1418ADCF0
0x141D1CF58,0x141DD9598
0x14145A86C,0x1414C050C
0x14145A878,0x1414C0518
0x14145A87D,0x1414C051D
0x14166C888,0x1416EEA30
0x141B69204,0x141C15284
0x1413F13A1,0x141450B31
0x1413F13AD,0x141450B3D
0x14166C8D8,0x1416EEA80
0x141B6928C,0x141C1530C
0x1413F13BE,0x141450B4E
0x1413F13CA,0x141450B5A
0x1413F13D6,0x141450B66
0x1413F13E2,0x141450B72
0x1413F13E7,0x141450B77
0x1413F13EC,0x141450B7C
0x14166C900,0x1416EEAA8
0x141B6930C,0x141C1538C
0x1413F13F1,0x141450B81
0x1413F13FD,0x141450B8D
0x1417F2118,0x1418A26D8
0x141D07274,0x141DC3824
0x141454910,0x1414BA580
0x14161ACD0,0x141691B10
0x141AC2504,0x141B64644
0x1413BC130,0x141417A00
0x1413BC13C,0x141417A0C
0x1413BC148,0x141417A18
0x1413BC154,0x141417A24
0x14161B898,0x1416926D8
0x141AC3674,0x141B657B4
0x1413BC742,0x141418012
0x1413BC74E,0x14141801E
0x1413BC75A,0x14141802A
0x1413BC766,0x141418036
0x1413BC786,0x141418056
0x1413BC79E,0x14141806E
0x1413BC7AA,0x14141807A
0x1413BC7C2,0x141418092
0x1413BC7D2,0x1414180A2
0x1413BC7DE,0x1414180AE
0x1413BC7EA,0x1414180BA
0x1413BC7EF,0x1414180BF
0x140175A50,0x140185E30
0x14161B8E8,0x141692728
0x141AC3828,0x141B65968
0x1413BC805,0x1414180D5
0x1413BC811,0x1414180E1
0x1413BC81D,0x1414180ED
0x1413BC829,0x1414180F9
0x1413BC82E,0x1414180FE
0x140463670,0x140473630
0x14161B8C0,0x141692700
0x141AC37D0,0x141B65910
0x1413BC7F4,0x1414180C4
0x1413BC800,0x1414180D0
0x14161B938,0x141692778
0x141AC3A84,0x141B65BC4
0x1413BC937,0x141418207
0x1413BC943,0x141418213
0x14161B960,0x1416927A0
0x141AC3ACC,0x141B65C0C
0x1413BC948,0x141418218
0x1413BC954,0x141418224
0x14161B9B0,0x1416927F0
0x141AC3B68,0x141B65CA8
0x1413BC96A,0x14141823A
0x1413BC976,0x141418246
0x1413BC982,0x141418252
0x1413BC98E,0x14141825E
0x14161B9D8,0x141692818
0x141AC3BE8,0x141B65D28
0x1413BC993,0x141418263
0x1413BC99F,0x14141826F
0x1413BC9AB,0x14141827B
0x1413BC9B7,0x141418287
0x14161BA00,0x141692840
0x141AC3C68,0x141B65DA8
0x1413BC9BC,0x14141828C
0x1413BC9C8,0x141418298
0x14161C858,0x141693698
0x141AC63A0,0x141B684E0
0x1413BD6B8,0x141418F88
0x1413BD6C4,0x141418F94
0x1413BD6D4,0x141418FA4
0x1413BD6E0,0x141418FB0
0x1413BD6EC,0x141418FBC
0x1413BD6F8,0x141418FC8
0x1413BD704,0x141418FD4
0x1413BD710,0x141418FE0
0x1413BD715,0x141418FE5
0x1413BD71A,0x141418FEA
0x14046EB50,0x14047EB10
0x140467AB2,0x140477A72
0x1434EA740,0x1437480FC
0x1434EA758,0x143748114
0x141AC76E4,0x141B69824
0x14046DCDA,0x14047DC9A
0x141AC7708,0x141B69848
0x14161F748,0x141696588
0x141ACC510,0x141B6E650
0x1413BEFB7,0x14141A897
0x14161F770,0x1416965B0
0x141ACC560,0x141B6E6A0
0x1413BEFC3,0x14141A8A3
0x1413BEFCF,0x14141A8AF
0x1413BEFDB,0x14141A8BB
0x141ACC8F0,0x141B6EA30
0x1434EC3FC,0x143749DB8
0x14048475E,0x1404946FE
0x141ACC8D8,0x141B6EA18
0x14161FAF8,0x141696938
0x141ACCD94,0x141B6EED4
0x1413BF1A6,0x14141AA86
0x1413BF1B2,0x14141AA92
0x1413BF1BE,0x14141AA9E
0x14161FB20,0x141696960
0x141ACCE00,0x141B6EF40
0x1413BF1CA,0x14141AAAA
0x14161FD68,0x141696BA8
0x141ACD1DC,0x141B6F31C
0x1413BF2D0,0x14141ABB0
0x14161FD90,0x141696BD0
0x141ACD21C,0x141B6F35C
0x1413BF2DC,0x14141ABBC
0x14161FEA0,0x141696CE0
0x141ACD4D4,0x141B6F614
0x1413BF388,0x14141AC68
0x141620088,0x141696EC8
0x141ACD994,0x141B6FAD4
0x1413BF500,0x14141ADE0
0x1413BF505,0x14141ADE5
0x1413BF50A,0x14141ADEA
0x14176AC88,0x1417F4C60
0x141C7E8E4,0x141D3773C
0x14143F8BC,0x1414A46CC
0x14176E2B8,0x1417F82E8
0x141C812C8,0x141D3A128
0x1414405CC,0x1414A53DC
0x14176B080,0x1417F5060
0x141C7EB58,0x141D379B0
0x14143F9D0,0x1414A47E0
0x14176B030,0x1417F5010
0x141C7EA78,0x141D378D0
0x14143F97C,0x1414A478C
0x1417736A8,0x1417FD6E0
0x141C8960C,0x141D4246C
0x14144254C,0x1414A735C
0x141773720,0x1417FD758
0x141C89884,0x141D426E4
0x141442597,0x1414A73A7
0x141774140,0x1417FE178
0x141C8A77C,0x141D435DC
0x14144288C,0x1414A769C
0x141774380,0x1417FE3B8
0x141C8A8DC,0x141D4373C
0x1414428E0,0x1414A76F0
0x1414428EC,0x1414A76FC
0x141772C40,0x1417FCC78
0x141C88F34,0x141D41D94
0x141442350,0x1414A7160
0x14144235C,0x1414A716C
0x141770A18,0x1417FAA50
0x141C871D4,0x141D40034
0x141441CB4,0x1414A6AC4
0x1417745C0,0x1417FE5F8
0x141C8AA80,0x141D438E0
0x141442940,0x1414A7750
0x14144294C,0x1414A775C
0x141774800,0x1417FE838
0x141C8AC04,0x141D43A64
0x1414429AC,0x1414A77BC
0x141772A00,0x1417FCA38
0x141C88D80,0x141D41BE0
0x1414422F0,0x1414A7100
0x1414422FC,0x1414A710C
0x140CD8FE0,0x140D1FB30
0x140CE06C0,0x140D27210
0x140CE0DB0,0x140D27900
0x140CE1550,0x140D280A0
0x140CE1D70,0x140D288C0
0x141C87194,0x141D3FFF4
0x143565830,0x1437C4E3C
0x140CCB7C8,0x140D12318
0x141C8716C,0x141D3FFCC
0x140CEC180,0x140D32CD0
0x14176B1E8,0x1417F51C8
0x141C7EB94,0x141D379EC
0x14143F9E0,0x1414A47F0
0x14143F9EC,0x1414A47FC
0x14177BE98,0x141805ED0
0x141C9135C,0x141D4A1BC
0x141444BF0,0x1414A9A00
0x141444BF5,0x1414A9A05
0x141444BFA,0x1414A9A0A
0x14177BE48,0x141805E80
0x141C912D0,0x141D4A130
0x141444BB0,0x1414A99C0
0x14177BE70,0x141805EA8
0x141C91318,0x141D4A178
0x141444BCD,0x1414A99DD
0x141774C88,0x1417FECC0
0x141C8B12C,0x141D43F8C
0x141442AC0,0x1414A78D0
0x141442AC5,0x1414A78D5
0x141774C10,0x1417FEC48
0x141C8AF68,0x141D43DC8
0x141442A5C,0x1414A786C
0x141774C60,0x1417FEC98
0x141C8B0E8,0x141D43F48
0x141442AAE,0x1414A78BE
0x141774F08,0x1417FEF40
0x141C8B2A8,0x141D44108
0x141442B30,0x1414A7940
0x141442B35,0x1414A7945
0x141442B3A,0x1414A794A
0x141774EB8,0x1417FEEF0
0x141C8B17C,0x141D43FDC
0x141442AD0,0x1414A78E0
0x141442ADC,0x1414A78EC
0x143567360,0x1437C696C
0x140CE2D0F,0x140D2985F
0x141C8AFA8,0x141D43E08
0x140CD0990,0x140D174E0
0x140CD1970,0x140D184C0
0x140CD27C0,0x140D19310
0x140CF00D0,0x140D36C20
0x140CF0B30,0x140D37680
0x141C82924,0x141D3B784
0x143564000,0x1437C360C
0x140CA2CC2,0x140CE9812
0x141C828CC,0x141D3B72C
0x141C82D4C,0x141D3BBAC
0x143564210,0x1437C381C
0x140CA6638,0x140CED188
0x141C82CF4,0x141D3BB54
0x14178B220,0x141815438
0x141C9FEA4,0x141D590F4
0x141448820,0x1414AD6B0
0x141448825,0x1414AD6B5
0x14144882A,0x1414AD6BA
0x14178B040,0x141815258
0x141C9F938,0x141D58B88
0x141448650,0x1414AD4E0
0x14144866D,0x1414AD4FD
0x14178B068,0x141815280
0x141C9F9A4,0x141D58BF4
0x141448679,0x1414AD509
0x14178B158,0x141815370
0x141C9FD5C,0x141D58FAC
0x141448761,0x1414AD5F1
0x141775160,0x1417FF198
0x141C8B370,0x141D441D0
0x141442B69,0x1414A7979
0x141442B75,0x1414A7985
0x141775460,0x1417FF498
0x141C8B584,0x141D443E4
0x141442BE0,0x1414A79F0
0x141442BEC,0x1414A79FC
