sse,vr
0x1418C58E8,0x141968CB0
0x141946928,0x1419EA178
0x141946940,0x1419EA190
0x141946910,0x1419EA160
0x1419738F0,0x141A17C50
0x141973908,0x141A17C68
0x1419738D8,0x141A17C38
0x1418C5F80,0x141969348
0x1418C5F98,0x141969360
0x1418C5F68,0x141969330
0x1418C5E80,0x141969248
0x1418C5E98,0x141969260
0x1418C5E68,0x141969230
0x1418C5F00,0x1419692C8
0x1418C5F18,0x1419692E0
0x1418C5EE8,0x1419692B0
0x14191B210,0x1419BED90
0x14191B230,0x1419BEDB0
0x14191B1F8,0x1419BED78
0x1418C5700,0x141968AC8
0x1418C5718,0x141968AE0
0x1418C56E8,0x141968AB0
0x1418C0A90,0x141963DC0
0x1418C0AB0,0x141963DE0
0x1418C0A78,0x141963DA8
0x1418BFB90,0x141962B50
0x1418BFBA8,0x141962B68
0x1418BFB78,0x141962B38
0x1418C6000,0x1419693C8
0x1418C6018,0x1419693E0
0x1418C5FE8,0x1419693B0
0x141968FD0,0x141A0D330
0x141969020,0x141A0D380
0x141968FB8,0x141A0D318
0x14195C7B0,0x141A004F0
0x14195C7D0,0x141A00510
0x14195C798,0x141A004D8
0x1418B8988,0x14195ACA8
0x1418B89C0,0x14195ACE0
0x1418B8970,0x14195AC90
0x1419248A0,0x1419C8330
0x1419248B8,0x1419C8348
0x141924888,0x1419C8318
0x141992C88,0x141A33DB0
0x141992CA0,0x141A33DC8
0x141992C70,0x141A33D98
0x1418FC198,0x14199FDF8
0x1418FC1B0,0x14199FE10
0x1418FC180,0x14199FDE0
0x141924320,0x1419C7DB0
0x141924338,0x1419C7DC8
0x141924308,0x1419C7D98
0x141919820,0x1419BD5A8
0x141919838,0x1419BD5C0
0x141919808,0x1419BD590
0x1419197A0,0x1419BD528
0x1419197B8,0x1419BD540
0x141919788,0x1419BD510
0x1419243A0,0x1419C7E30
0x1419243B8,0x1419C7E48
0x141924388,0x1419C7E18
0x1418C2EB8,0x141966188
0x1418C2EF0,0x1419661C0
0x1418C2EA0,0x141966170
0x141944668,0x1419E7EB8
0x141944680,0x1419E7ED0
0x141944650,0x1419E7EA0
0x1418C3C30,0x141966FF8
0x1418C3C50,0x141967018
